cc_num,gender,dob,job,city,state,profile
CARD00382,M,1993-05-21,Data Analyst,Barbaraberg,NC,night_owl
CARD00383,F,1997-01-20,Consultant,Lefurt,PW,night_owl
CARD00384,M,1995-12-29,Consultant,Jenniferchester,NE,weekend_splurger
CARD00385,M,2006-01-31,Student,Burnettland,NY,conservative
CARD00386,M,2001-04-08,Teacher,Sharonmouth,SD,conservative
CARD00387,M,1997-01-12,Graphic Designer,Lake Stephanie,ME,conservative
CARD00388,M,2006-01-07,Consultant,Huynhtown,MO,night_owl
CARD00389,F,2004-11-06,Marketing Manager,Zacharyburgh,NJ,weekend_splurger
CARD00390,M,1995-12-13,Software Engineer,Elizabethmouth,ND,weekend_splurger
CARD00391,M,1999-04-24,Freelancer,North Richard,ND,high_risk
CARD00392,F,2007-03-22,Graphic Designer,East Bethany,KS,night_owl
CARD00393,M,2002-12-22,Teacher,New Ronald,IL,night_owl
CARD00394,F,1997-07-07,Student,North Kayla,DC,night_owl
CARD00395,F,2001-07-13,Software Engineer,New Allenville,KY,night_owl
CARD00396,F,1993-10-22,Graphic Designer,West Christopher,MP,conservative
CARD00397,M,2001-10-21,Student,New Glendaland,AK,weekend_splurger
CARD00398,F,1999-02-12,Data Analyst,Lake Jasonburgh,LA,night_owl
CARD00399,F,1993-06-28,Data Analyst,Melissaville,UT,night_owl
CARD00400,F,2002-08-11,Software Engineer,West Brianville,OH,weekend_splurger
CARD00401,M,1993-07-31,Teacher,Joneshaven,OH,night_owl
CARD00402,F,1995-02-06,Content Creator,Coxville,AL,weekend_splurger
CARD00403,F,1993-09-20,Nurse,New Ronald,WV,high_risk
CARD00404,M,1995-10-04,Nurse,South Laurentown,WA,high_risk
CARD00405,M,1994-09-02,Graphic Designer,Lake Johnberg,LA,high_risk
CARD00406,M,2007-04-27,Student,Dianaport,MA,conservative
CARD00407,M,1997-12-05,Graphic Designer,Andersonhaven,TX,conservative
CARD00408,M,2003-01-19,Sales Executive,Lake Kaylaburgh,NE,conservative
CARD00409,M,2001-01-14,Nurse,Kimport,WV,conservative
CARD00410,F,2005-07-10,Student,Thomasberg,MP,conservative
CARD00411,F,1995-10-23,Graphic Designer,Pennyhaven,AK,conservative
CARD00412,F,2006-10-12,Freelancer,South Paulview,TN,high_risk
CARD00413,F,1995-09-30,Sales Executive,Williamsview,WV,high_risk
CARD00414,M,1994-07-29,Marketing Manager,Matthewbury,OR,night_owl
CARD00415,M,1998-02-28,Software Engineer,New Amber,NJ,conservative
CARD00416,M,2000-08-31,Student,New Kristen,NE,conservative
CARD00417,F,1999-09-12,Marketing Manager,New Raymond,ND,weekend_splurger
CARD00418,M,2002-02-28,Sales Executive,Lopezborough,MH,high_risk
CARD00419,F,2006-07-07,Marketing Manager,South Jeremyberg,PR,night_owl
CARD00420,M,1997-10-10,Nurse,Kevinbury,VI,night_owl
CARD00421,M,2007-05-29,Data Analyst,Port Kevinview,GA,high_risk
CARD00422,M,1998-12-17,Marketing Manager,Richardsberg,MO,weekend_splurger
CARD00423,M,2007-12-19,Freelancer,North Martin,VA,high_risk
CARD00424,F,2006-10-08,Graphic Designer,Dawsonhaven,FL,high_risk
CARD00425,F,2001-06-23,Graphic Designer,North Melissafort,PW,conservative
CARD00426,M,1994-06-14,Software Engineer,North Kennethport,SC,high_risk
CARD00427,M,2003-08-17,Product Manager,Lake Carolynstad,NE,night_owl
CARD00428,M,1993-11-18,Product Manager,North Lisa,AL,night_owl
CARD00429,F,1995-02-19,Data Analyst,Melissamouth,AR,conservative
CARD00430,F,2000-05-04,Content Creator,East Aprilberg,AR,high_risk
CARD00431,M,2006-02-08,Marketing Manager,New Alishashire,VT,night_owl
CARD00432,M,2000-02-05,Data Analyst,North Melissa,PA,conservative
CARD00433,M,2002-11-19,Content Creator,Ginaberg,KY,high_risk
CARD00434,F,1995-08-03,Marketing Manager,North Brittany,AS,weekend_splurger
CARD00435,M,1999-08-13,Data Analyst,Marcusmouth,NJ,weekend_splurger
CARD00436,M,1996-05-21,Sales Executive,Tonytown,MP,high_risk
CARD00437,M,1993-10-25,Consultant,Port Steven,OH,conservative
CARD00438,F,1995-07-13,Consultant,Susantown,AK,high_risk
CARD00439,F,2004-08-17,Product Manager,Woodsmouth,OK,weekend_splurger
CARD00440,F,2002-08-31,Software Engineer,New Reginaldbury,VI,night_owl
CARD00441,F,1998-07-19,Content Creator,Stephanieshire,MS,night_owl
CARD00442,F,2004-09-14,Nurse,Larsonshire,PW,night_owl
CARD00443,M,1995-02-17,Student,Riveraside,ME,high_risk
CARD00444,M,2006-08-03,Content Creator,North Heatherton,SC,conservative
CARD00445,M,2002-03-16,Graphic Designer,Luistown,PW,conservative
CARD00446,F,2007-08-24,Software Engineer,Johnsonbury,WV,night_owl
CARD00447,F,1999-09-06,Student,Lake Tyler,MI,weekend_splurger
CARD00448,M,2002-08-25,Graphic Designer,Andersenton,MO,high_risk
CARD00449,M,2005-09-13,Graphic Designer,Garciamouth,NM,high_risk
CARD00450,F,2004-07-10,Freelancer,Dawsonchester,AK,conservative
CARD00451,F,2005-01-29,Consultant,South Joseph,ID,conservative
CARD00452,M,2000-10-19,Consultant,Liuchester,NY,high_risk
CARD00453,F,2006-01-21,Marketing Manager,Lake Christopherstad,PW,night_owl
CARD00454,M,2004-08-24,Graphic Designer,North Lisaton,GA,conservative
CARD00455,M,1996-02-06,Consultant,Mooreton,WY,weekend_splurger
CARD00456,M,2007-10-15,Teacher,Johnborough,AS,weekend_splurger
CARD00457,F,2006-09-24,Sales Executive,Lake Natalie,SC,conservative
CARD00458,M,2001-07-22,Data Analyst,Lindamouth,FL,conservative
CARD00459,M,2005-10-05,Sales Executive,Billville,MT,weekend_splurger
CARD00460,M,2000-12-28,Software Engineer,Perezland,TX,conservative
CARD00461,F,1996-12-27,Product Manager,Brettberg,MS,conservative
CARD00462,M,1999-11-10,Nurse,Harrisstad,PR,night_owl
CARD00463,F,1998-07-10,Student,Lake David,NJ,night_owl
CARD00464,M,1999-07-11,Software Engineer,Port Suzanne,WV,weekend_splurger
CARD00465,F,2001-07-30,Data Analyst,Port Timothyport,DC,weekend_splurger
CARD00466,F,1998-06-23,Product Manager,Port Andrew,SC,high_risk
CARD00467,M,2001-08-15,Content Creator,East Ronald,UT,weekend_splurger
CARD00468,F,1994-08-08,Content Creator,Lisaberg,MP,conservative
CARD00469,M,2001-05-11,Teacher,Clarkchester,WY,weekend_splurger
CARD00470,F,2003-10-17,Content Creator,Andrewsberg,SC,weekend_splurger
CARD00471,M,2001-02-24,Sales Executive,Barneshaven,MD,night_owl
CARD00472,M,2008-02-08,Graphic Designer,Hardinside,NV,weekend_splurger
CARD00473,M,1996-11-24,Marketing Manager,South Jennifer,NY,high_risk
CARD00474,F,1997-09-20,Teacher,South Tinaville,FL,weekend_splurger
CARD00475,M,1999-03-04,Content Creator,Haroldtown,WA,night_owl
CARD00476,F,2005-07-24,Graphic Designer,West Miranda,TX,weekend_splurger
CARD00477,F,2004-11-24,Marketing Manager,Douglasfort,VT,conservative
CARD00478,M,2002-09-02,Graphic Designer,Hillberg,MD,high_risk
CARD00479,M,2002-08-10,Nurse,New Kathleenfort,PW,night_owl
CARD00480,F,2005-06-28,Software Engineer,Lisamouth,ID,weekend_splurger
CARD00481,F,1998-04-23,Product Manager,East Daniellefort,WA,night_owl
CARD00482,M,1996-01-08,Content Creator,Acostabury,OK,weekend_splurger
CARD00483,F,2005-12-07,Teacher,Willieville,DC,high_risk
CARD00484,F,2006-09-02,Consultant,Amberside,WV,night_owl
CARD00485,M,2004-11-02,Marketing Manager,West Kathryntown,WY,high_risk
CARD00486,M,2003-03-30,Consultant,New Andreaside,CO,high_risk
CARD00487,F,1996-07-20,Software Engineer,Lake Teresamouth,PW,high_risk
CARD00488,M,2002-11-27,Nurse,Hendersonfurt,NY,night_owl
CARD00489,F,1993-05-13,Nurse,West Sheliahaven,WI,weekend_splurger
CARD00490,F,2004-09-26,Product Manager,New Chelsea,WA,high_risk
CARD00491,F,2008-02-05,Sales Executive,South Victoriaville,PR,night_owl
CARD00492,M,2004-03-16,Student,Raymondmouth,UT,weekend_splurger
CARD00493,F,2003-05-12,Marketing Manager,Kathrynfurt,MN,night_owl
CARD00494,F,2002-11-13,Sales Executive,South Briannaberg,MI,conservative
CARD00495,M,1999-03-09,Sales Executive,Vaughntown,GU,conservative
CARD00496,M,2003-07-24,Software Engineer,New Denise,LA,high_risk
CARD00497,F,1997-04-10,Nurse,New Javier,WV,night_owl
CARD00498,M,1993-03-14,Sales Executive,Jessicaport,AL,high_risk
CARD00499,F,1999-06-14,Teacher,New Donald,NH,conservative
CARD00500,F,1997-12-21,Graphic Designer,Lake Amanda,TN,high_risk
